COUNTY,YEARS,STRATA,AGE GROUP,NUMBER OF DEATHS,AGE-ADJUSTED MORTALITY RATE,COMMENT
California,2014–2016,Total population,All ages,"1,181",9.6,
Alameda,2014–2016,Total population,All ages,58,11.2,
Alpine,2014–2016,Total population,All ages,0,0,
Amador,2014–2016,Total population,All ages,0,0,
Butte,2014–2016,Total population,All ages,7,,Rate not available due to statistical instability
Calaveras,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2014–2016,Total population,All ages,40,10.6,
Del Norte,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2014–2016,Total population,All ages,7,,Rate not available due to statistical instability
Fresno,2014–2016,Total population,All ages,39,14.5,
Glenn,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2014–2016,Total population,All ages,10,,Rate not available due to statistical instability
Imperial,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Inyo,2014–2016,Total population,All ages,0,0,
Kern,2014–2016,Total population,All ages,22,9.3,
Kings,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
Lake,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Lassen,2014–2016,Total population,All ages,0,0,
Los Angeles,2014–2016,Total population,All ages,305,9.8,
Madera,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
Marin,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mariposa,2014–2016,Total population,All ages,0,0,
Mendocino,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Merced,2014–2016,Total population,All ages,16,21.6,
Modoc,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2014–2016,Total population,All ages,19,14.2,
Napa,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Nevada,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Orange,2014–2016,Total population,All ages,55,5.5,
Placer,2014–2016,Total population,All ages,11,,Rate not available due to statistical instability
Plumas,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2014–2016,Total population,All ages,61,8.5,
Sacramento,2014–2016,Total population,All ages,66,14.1,
San Benito,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
San Bernardino,2014–2016,Total population,All ages,73,12.5,
San Diego,2014–2016,Total population,All ages,69,6.5,
San Francisco,2014–2016,Total population,All ages,23,6.8,
San Joaquin,2014–2016,Total population,All ages,31,15.4,
San Luis Obispo,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
San Mateo,2014–2016,Total population,All ages,33,11.2,
Santa Barbara,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
Santa Clara,2014–2016,Total population,All ages,67,11.1,
Santa Cruz,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Shasta,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
Sierra,2014–2016,Total population,All ages,0,0,
Siskiyou,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2014–2016,Total population,All ages,20,14.4,
Sonoma,2014–2016,Total population,All ages,12,5.9,
Stanislaus,2014–2016,Total population,All ages,20,13,
Sutter,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
Tehama,2014–2016,Total population,All ages,0,0,
Trinity,2014–2016,Total population,All ages,0,0,
Tulare,2014–2016,Total population,All ages,15,12,
Tuolumne,2014–2016,Total population,All ages,6,,Rate not available due to statistical instability
Ventura,2014–2016,Total population,All ages,24,8.7,
Yolo,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
Yuba,2014–2016,Total population,All ages,,,Count and rate suppressed in accordance with data de-identification guidelines
California,2014–2016,Child vs. adult,0–17 years,55,2,
Alameda,2014–2016,Child vs. adult,0–17 years,0,0,
Alpine,2014–2016,Child vs. adult,0–17 years,0,0,
