i,seed_i,m,c1,c2,c3,c4,c5,c6,loglik,penalty,penlik,truelik,truepen,truepenlike
1,543,4,7.252309572244037,21.083475650331753,44.34714201139602,58.09587665941634,0,0,623.2536760146954,42.621765624575715,665.8754416392711,623.6419268215753,42.65500765430911,666.2969344758844
2,1543,4,8.974146769557622,19.72256106022693,41.51054705092229,62.2121842584908,0,0,636.9965868743651,42.623465138054314,679.6200520124194,635.0993880346457,42.65500765430911,677.7543956889548
3,2543,4,10.360202667706472,19.192928465134166,45.10453022995295,59.56704427844869,0,0,619.8586801660626,42.47023800888324,662.3289181749459,615.9620264231876,42.65500765430911,658.6170340774967
4,3543,4,7.663706585029854,21.084144081864817,40.648038717235735,61.2649662870646,0,0,599.1415127202066,42.68563565500999,641.8271483752166,597.4619449914064,42.65500765430911,640.1169526457155
5,4543,4,8.797487326392442,20.96452617745499,47.328787758510906,59.379771804547694,0,0,617.8263156864181,42.555475754271185,660.3817914406893,614.115145749309,42.65500765430911,656.7701534036181
6,5543,4,9.639643791371956,20.901579851999372,43.977704658634146,58.32474703916971,0,0,622.3023449663781,42.5397862274112,664.8421311937893,620.692422325253,42.65500765430911,663.3474299795621
7,6543,4,7.480505600934842,20.508396674137998,47.829333065161705,61.816790455141906,0,0,620.9056014152075,42.64156541097087,663.5471668261783,622.7885016021614,42.65500765430911,665.4435092564705
8,7543,4,5.880515177617393,20.77259527779153,41.595171523847775,60.4755293753236,0,0,613.8390455745152,42.74191796114273,656.5809635356579,613.7215996354985,42.65500765430911,656.3766072898076
9,8543,4,6.100531728102942,22.23391417623285,41.18793516943397,61.67772491201867,0,0,652.9174641213605,42.755803859615654,695.6732679809761,652.9560266825807,42.65500765430911,695.6110343368898
10,9543,4,6.332306767448404,21.928474796174154,41.43174673653551,61.82373574175432,0,0,624.1826358556297,42.75407999017571,666.9367158458053,627.3478755877293,42.65500765430911,670.0028832420384
11,10543,4,8.191012969794073,21.03146177108509,42.57114410239039,59.94035203217754,0,0,610.949267312471,42.64874854513041,653.5980158576014,610.0123086720381,42.65500765430911,652.6673163263472
12,11543,4,7.913040332267737,20.00197487631731,43.449560680549524,57.12018657817091,0,0,640.0589368941409,42.57716551193055,682.6361024060714,639.0720993276188,42.65500765430911,681.7271069819279
13,12543,4,8.439382863656348,23.342847268214346,46.48111865254272,56.92535475098729,0,0,633.2487566441297,42.53530189241982,675.7840585365495,627.6002682229179,42.65500765430911,670.255275877227
14,13543,4,6.762115127849725,22.259502357793135,48.113704711556956,59.08132540974903,0,0,617.7144314564212,42.62801444608198,660.3424459025032,612.8805819719918,42.65500765430911,655.5355896263009
